O*NET-SOC Code	Task	Category	Original Task ID	Original Task	Write-in Total	Date	Domain Source
11-2011.00	Create media notices about events.	New	n/a	n/a	5	06/2010	Incumbent
11-2031.00	Design and edit promotional publications, such as brochures.	New	n/a	n/a	9	06/2009	Incumbent
11-2031.00	Develop, implement, and maintain crisis communication plans.	New	n/a	n/a	7	06/2009	Incumbent
11-3051.02	Conduct employee safety training.	New	n/a	n/a	9	07/2011	Incumbent
11-3051.04	Manage safety programs at power generation facilities.	New	n/a	n/a	5	07/2012	Incumbent
11-3061.00	Develop cost reduction strategies and savings plans.	New	n/a	n/a	10	06/2009	Occupational Expert
11-3071.02	Monitor inventory levels of products or materials in warehouses.	New	n/a	n/a	7	06/2008	Occupational Expert
11-9032.00	Create school improvement plans by using student performance data.	New	n/a	n/a	5	06/2010	Incumbent
11-9033.00	Design or use assessments to monitor student learning outcomes.	New	n/a	n/a	8	06/2010	Incumbent
11-9033.00	Prepare reports on academic or institutional data.	New	n/a	n/a	6	06/2010	Incumbent
11-9039.02	Evaluate fitness and wellness programs to determine their effectiveness.	New	n/a	n/a	6	07/2015	Occupational Expert
11-9061.00	Deliver death certificates to medical facilities or offices to obtain signatures from legally authorized persons.	New	n/a	n/a	6	07/2014	Incumbent
11-9071.00	Monitor the performance of the gaming floor, relocating games and installing new games as necessary.	New	n/a	n/a	6	07/2014	Incumbent
11-9131.00	Monitor employees' work schedules and attendance for payroll purposes.	New	n/a	n/a	9	07/2005	Incumbent
11-9199.11	Identify and apply for project funding.	New	n/a	n/a	8	07/2013	Occupational Expert
13-1011.00	Send samples of clients' work and other promotional material to potential employers to obtain auditions, sponsorships and endorsement deals.	New	n/a	n/a	9	06/2007	Incumbent
13-1031.01	Attend mediations or trials.	New	n/a	n/a	5	06/2010	Incumbent
13-1041.03	Develop guidelines for nondiscriminatory employment practices, such as affirmative action plans and equal opportunity employment policies.	Revision	20722	Develop guidelines for nondiscriminatory employment practices.	13	07/2015	Incumbent
13-1041.03	Train employees on equal opportunity laws, guidelines, or policies, such as discrimination, diversity, harassment, or affirmative action.	New	n/a	n/a	13	07/2015	Incumbent
13-1041.04	Inspect government property, such as construction sites and public housing, to ensure compliance with contract specifications and legal requirements.	New	n/a	n/a	6	06/2007	Incumbent
13-1051.00	Collect historical cost data to estimate costs for current or future products.	New	n/a	n/a	5	06/2008	Occupational Expert
13-1071.00	Administer employee benefit plans.	New	n/a	n/a	9	07/2012	Incumbent
13-1081.00	Perform managerial duties such as hiring and training employees, and overseeing facility needs/requirements.	New	n/a	n/a	10	06/2006	Incumbent
13-2011.01	Prepare adjusting journal entries.	New	n/a	n/a	5	06/2009	Incumbent
13-2011.01	Review accounts for discrepancies and reconcile differences.	New	n/a	n/a	6	06/2009	Incumbent
13-2021.01	Assist in the training of new staff.	New	n/a	n/a	6	07/2011	Incumbent
13-2021.01	Explain real and personal property taxes to property owners.	New	n/a	n/a	5	07/2011	Incumbent
13-2041.00	Contact customers regarding delinquent accounts to collect payments.	New	n/a	n/a	8	06/2009	Occupational Expert
13-2053.00	Examine documents to determine degree of risk from factors such as applicant health, financial standing and value, and condition of property.	Revision	1260	Examine documents to determine degree of risk from such factors as applicant financial standing and value and condition of property.	7	06/2009	Occupational Expert
13-2071.01	Counsel students on financial aid issues (e.g., providing entrance and exit loan counseling) and awards available.	New	n/a	n/a	12	12/2005	Incumbent
13-2082.00	Schedule appointments with clients.	New	n/a	n/a	5	07/2013	Occupational Expert
15-1121.00	Troubleshoot program and system malfunctions to restore normal functioning.	New	n/a	n/a	8	06/2009	Incumbent
15-1131.00	Develop websites.	New	n/a	n/a	6	06/2009	Incumbent
15-1131.00	Train users on the use and function of computer programs.	New	n/a	n/a	7	06/2009	Incumbent
15-2011.00	Negotiate terms and conditions of reinsurance with other companies.	New	n/a	n/a	4	06/2009	Occupational Expert
15-2031.00	Educate staff in the use of mathematical models.	New	n/a	n/a	7	07/2011	Occupational Expert
