O*NET-SOC Code	Green Occupational Category
11-1011.03	Green New & Emerging
11-1021.00	Green Enhanced Skills
11-2011.01	Green New & Emerging
11-2021.00	Green Enhanced Skills
11-3051.00	Green Increased Demand
11-3051.02	Green New & Emerging
11-3051.03	Green New & Emerging
11-3051.04	Green New & Emerging
11-3051.05	Green New & Emerging
11-3051.06	Green New & Emerging
11-3071.01	Green Enhanced Skills
11-3071.02	Green Enhanced Skills
11-3071.03	Green New & Emerging
11-9013.02	Green Enhanced Skills
11-9021.00	Green Enhanced Skills
11-9041.00	Green Enhanced Skills
11-9041.01	Green New & Emerging
11-9121.00	Green Increased Demand
11-9121.02	Green New & Emerging
11-9199.01	Green New & Emerging
11-9199.02	Green New & Emerging
11-9199.04	Green New & Emerging
11-9199.09	Green New & Emerging
11-9199.10	Green New & Emerging
11-9199.11	Green New & Emerging
13-1021.00	Green Increased Demand
13-1022.00	Green Enhanced Skills
13-1041.07	Green New & Emerging
13-1081.01	Green New & Emerging
13-1081.02	Green New & Emerging
13-1151.00	Green Enhanced Skills
13-1199.01	Green New & Emerging
13-1199.05	Green New & Emerging
13-2051.00	Green Enhanced Skills
13-2052.00	Green Enhanced Skills
13-2099.01	Green New & Emerging
13-2099.02	Green New & Emerging
13-2099.03	Green New & Emerging
15-1133.00	Green Increased Demand
15-1199.04	Green New & Emerging
15-1199.05	Green New & Emerging
17-1011.00	Green Enhanced Skills
17-1012.00	Green Enhanced Skills
17-2011.00	Green Enhanced Skills
17-2041.00	Green Increased Demand
17-2051.00	Green Enhanced Skills
17-2051.01	Green New & Emerging
17-2071.00	Green Enhanced Skills
17-2072.00	Green Enhanced Skills
17-2081.00	Green Enhanced Skills
17-2081.01	Green New & Emerging
17-2111.01	Green Increased Demand
17-2112.00	Green Increased Demand
17-2141.00	Green Enhanced Skills
17-2141.01	Green New & Emerging
17-2141.02	Green New & Emerging
17-2161.00	Green Enhanced Skills
17-2199.01	Green New & Emerging
17-2199.02	Green New & Emerging
17-2199.03	Green New & Emerging
17-2199.04	Green New & Emerging
17-2199.05	Green New & Emerging
17-2199.06	Green New & Emerging
17-2199.07	Green New & Emerging
17-2199.08	Green New & Emerging
17-2199.09	Green New & Emerging
17-2199.10	Green New & Emerging
17-2199.11	Green New & Emerging
17-3011.01	Green Increased Demand
17-3023.01	Green Increased Demand
17-3023.03	Green Enhanced Skills
17-3024.00	Green Enhanced Skills
17-3024.01	Green New & Emerging
17-3025.00	Green Enhanced Skills
17-3026.00	Green Enhanced Skills
17-3027.01	Green New & Emerging
17-3029.02	Green New & Emerging
17-3029.03	Green New & Emerging
17-3029.04	Green New & Emerging
17-3029.05	Green New & Emerging
17-3029.06	Green New & Emerging
17-3029.07	Green New & Emerging
17-3029.08	Green New & Emerging
17-3029.09	Green New & Emerging
17-3029.10	Green New & Emerging
17-3029.11	Green New & Emerging
