O*NET-SOC Code	Task ID	Task	Green Task Type	Date	Domain Source
11-1011.03	15384	Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design.	New Green Task	07/2013	Occupational Expert
11-1011.03	15372	Supervise employees or volunteers working on sustainability projects.	New Green Task	07/2013	Occupational Expert
11-1011.03	15376	Research environmental sustainability issues, concerns, or stakeholder interests.	New Green Task	07/2013	Occupational Expert
11-1011.03	15381	Develop methodologies to assess the viability or success of sustainability initiatives.	New Green Task	07/2013	Occupational Expert
11-1011.03	15382	Monitor and evaluate effectiveness of sustainability programs.	New Green Task	07/2013	Occupational Expert
11-1011.03	15377	Evaluate and approve proposals for sustainability projects, considering factors such as cost effectiveness, technical feasibility, and integration with other initiatives.	New Green Task	07/2013	Occupational Expert
11-1011.03	15380	Develop, or oversee the development of, marketing or outreach media for sustainability projects or events.	New Green Task	07/2013	Occupational Expert
11-1011.03	15379	Develop, or oversee the development of, sustainability evaluation or monitoring systems.	New Green Task	07/2013	Occupational Expert
11-1011.03	15370	Create and maintain sustainability program documents, such as schedules and budgets.	New Green Task	07/2013	Occupational Expert
11-1011.03	15383	Direct sustainability program operations to ensure compliance with environmental or governmental regulations.	New Green Task	07/2013	Occupational Expert
11-1011.03	15367	Identify educational, training, or other development opportunities for sustainability employees or volunteers.	New Green Task	07/2013	Occupational Expert
11-1011.03	15378	Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups.	New Green Task	07/2013	Occupational Expert
11-1011.03	15374	Review sustainability program objectives, progress, or status to ensure compliance with policies, standards, regulations, or laws.	New Green Task	07/2013	Occupational Expert
11-1011.03	15375	Formulate or implement sustainability campaign or marketing strategies.	New Green Task	07/2013	Occupational Expert
11-1011.03	15368	Identify and evaluate pilot projects or programs to enhance the sustainability research agenda.	New Green Task	07/2013	Occupational Expert
11-1011.03	15369	Conduct sustainability- or environment-related risk assessments.	New Green Task	07/2013	Occupational Expert
11-1011.03	15371	Write project proposals, grant applications, or other documents to pursue funding for environmental initiatives.	New Green Task	07/2013	Occupational Expert
11-1011.03	15373	Write and distribute financial or environmental impact reports.	New Green Task	07/2013	Occupational Expert
11-1021.00	20708	Manage the movement of goods into and out of production facilities to ensure efficiency, effectiveness, or sustainability of operations.	Existing Green Task	07/2015	Incumbent
11-1021.00	19501	Implement or oversee environmental management or sustainability programs addressing issues such as recycling, conservation, or waste management.	New Green Task	07/2015	Incumbent
11-2011.01	19941	Analyze green product marketing or sales trends to forecast future conditions.	New Green Task	07/2011	Analyst
11-2011.01	15400	Analyze the effectiveness of marketing tactics or channels.	New Green Task	07/2011	Analyst
11-2011.01	19940	Attend or participate in conferences, community events, and promotional events related to green products or technologies.	New Green Task	07/2011	Analyst
11-2011.01	19939	Conduct research on consumer opinions and buying habits, and identify target audiences for green products, services, or technologies.	New Green Task	07/2011	Analyst
11-2011.01	19942	Develop branding or sales initiatives for green products, such as solar energy systems, green cleaning products, or products using renewable or recycled materials.	New Green Task	07/2011	Analyst
11-2011.01	19938	Develop communications materials, advertisements, presentations, or public relations initiatives to promote awareness of green products and technologies.	New Green Task	07/2011	Analyst
