Element ID	Element Name	Scale ID	Anchor Value	Anchor Description
1.A.1.a.1	Oral Comprehension	LV	2	Understand a television commercial
1.A.1.a.1	Oral Comprehension	LV	4	Understand a coach's oral instructions for a sport
1.A.1.a.1	Oral Comprehension	LV	6	Understand a lecture on advanced physics
1.A.1.a.2	Written Comprehension	LV	2	Understand signs on the highway
1.A.1.a.2	Written Comprehension	LV	4	Understand an apartment lease
1.A.1.a.2	Written Comprehension	LV	6	Understand an instruction book on repairing missile guidance systems
1.A.1.a.3	Oral Expression	LV	2	Cancel newspaper delivery by phone
1.A.1.a.3	Oral Expression	LV	4	Give instructions to a lost motorist
1.A.1.a.3	Oral Expression	LV	6	Explain advanced principles of genetics to college freshmen
1.A.1.a.4	Written Expression	LV	1	Write a note to remind someone to take food out of the freezer
1.A.1.a.4	Written Expression	LV	4	Write a job recommendation for a subordinate
1.A.1.a.4	Written Expression	LV	6	Write an advanced economics textbook
1.A.1.b.1	Fluency of Ideas	LV	2	Name four different uses for a screwdriver
1.A.1.b.1	Fluency of Ideas	LV	4	Think of as many ideas as possible for the name of a new company
1.A.1.b.1	Fluency of Ideas	LV	6	Name all the possible strategies for a military battle
1.A.1.b.2	Originality	LV	2	Use a credit card to open a locked door
1.A.1.b.2	Originality	LV	4	Redesign job tasks to be interesting for employees
1.A.1.b.2	Originality	LV	6	Invent a new type of man-made fiber
1.A.1.b.3	Problem Sensitivity	LV	2	Recognize that an unplugged lamp won't work
1.A.1.b.3	Problem Sensitivity	LV	4	Recognize from the mood of prisoners that a prison riot is likely to occur
1.A.1.b.3	Problem Sensitivity	LV	6	Recognize an illness at an early stage of a disease when there are only a few symptoms
1.A.1.b.4	Deductive Reasoning	LV	2	Know that a stalled car can coast downhill
1.A.1.b.4	Deductive Reasoning	LV	5	Decide what factors to consider in selecting stocks
1.A.1.b.4	Deductive Reasoning	LV	6	Design an aircraft wing using principles of aerodynamics
1.A.1.b.5	Inductive Reasoning	LV	2	Decide what to wear based on the weather report
1.A.1.b.5	Inductive Reasoning	LV	4	Determine the prime suspect based on crime scene evidence
1.A.1.b.5	Inductive Reasoning	LV	6	Diagnose a disease using results of many different lab tests
1.A.1.b.6	Information Ordering	LV	1	Put things in numerical order
1.A.1.b.6	Information Ordering	LV	2	Follow the correct steps to make change
