O*NET-SOC Code	Task ID	Green DWA ID	Date	Domain Source
11-1011.03	15367	4.A.1.b.1.G01	03/2014	Analyst
11-1011.03	15369	4.A.2.a.4.G09	03/2014	Analyst
11-1011.03	15370	4.A.3.b.6.G08	03/2014	Analyst
11-1011.03	15371	4.A.3.b.6.G02	03/2014	Analyst
11-1011.03	15372	4.A.4.b.4.G01	03/2014	Analyst
11-1011.03	15373	4.A.3.b.6.G04	03/2014	Analyst
11-1011.03	15374	4.A.2.a.3.G03	03/2014	Analyst
11-1011.03	15375	4.A.4.a.6.G05	03/2014	Analyst
11-1011.03	15376	4.A.2.a.4.G19	03/2014	Analyst
11-1011.03	15377	4.A.2.b.1.G04	03/2014	Analyst
11-1011.03	15378	4.A.3.b.6.G01	03/2014	Analyst
11-1011.03	15379	4.A.2.b.2.G17	03/2014	Analyst
11-1011.03	15380	4.A.4.a.6.G01	03/2014	Analyst
11-1011.03	15381	4.A.2.b.2.G17	03/2014	Analyst
11-1011.03	15382	4.A.1.a.2.G01	03/2014	Analyst
11-1011.03	15383	4.A.4.b.1.G03	03/2014	Analyst
11-1011.03	15384	4.A.2.b.4.G03	03/2014	Analyst
11-1021.00	19501	4.A.4.b.1.G03	03/2014	Analyst
11-1021.00	20708	4.A.2.a.4.G22	07/2015	Analyst
11-2011.01	15387	4.A.3.b.6.G05	03/2014	Analyst
11-2011.01	15389	4.A.2.b.2.G01	03/2014	Analyst
11-2011.01	15401	4.A.2.a.4.G05	03/2014	Analyst
11-2011.01	19933	4.A.1.a.2.G02	03/2014	Analyst
11-2011.01	19934	4.A.4.a.6.G02	03/2014	Analyst
11-2011.01	19935	4.A.4.a.6.G01	03/2014	Analyst
11-2011.01	19936	4.A.4.a.6.G05	03/2014	Analyst
11-2011.01	19937	4.A.4.a.6.G02	03/2014	Analyst
11-2011.01	19938	4.A.4.a.6.G01	03/2014	Analyst
11-2011.01	19939	4.A.4.a.6.G02	03/2014	Analyst
11-2011.01	19940	4.A.2.b.3.G01	03/2014	Analyst
11-2011.01	19942	4.A.4.a.6.G05	03/2014	Analyst
11-2011.01	19943	4.A.4.a.6.G05	03/2014	Analyst
11-2011.01	19944	4.A.4.a.6.G05	03/2014	Analyst
11-2021.00	19502	4.A.4.a.3.G02	03/2014	Analyst
11-2021.00	19503	4.A.4.a.6.G05	03/2014	Analyst
11-2021.00	19504	4.A.4.a.6.G05	03/2014	Analyst
11-2021.00	19505	4.A.4.b.6.G05	03/2014	Analyst
11-3051.02	15432	4.A.2.a.1.G02	03/2014	Analyst
11-3051.02	15433	4.A.2.b.1.G10	03/2014	Analyst
11-3051.02	15434	4.A.4.a.2.G01	03/2014	Analyst
11-3051.02	15435	4.A.3.b.4.G01	03/2014	Analyst
11-3051.02	15436	4.A.3.b.6.G05	03/2014	Analyst
11-3051.02	15437	4.A.4.c.1.G01	03/2014	Analyst
11-3051.02	15438	4.A.4.c.1.G01	03/2014	Analyst
11-3051.02	15439	4.A.3.b.4.G02	03/2014	Analyst
11-3051.02	15440	4.A.4.a.7.G01	03/2014	Analyst
11-3051.02	15441	4.A.1.a.2.G04	03/2014	Analyst
