Element ID	Element Name	Scale ID	Category	Category Description
4.C.1.a.2.c	Public Speaking	CXP	1	Never
4.C.1.a.2.c	Public Speaking	CXP	2	Once a year or more but not every month
4.C.1.a.2.c	Public Speaking	CXP	3	Once a month or more but not every week
4.C.1.a.2.c	Public Speaking	CXP	4	Once a week or more but not every day
4.C.1.a.2.c	Public Speaking	CXP	5	Every day
4.C.1.a.2.f	Telephone	CXP	1	Never
4.C.1.a.2.f	Telephone	CXP	2	Once a year or more but not every month
4.C.1.a.2.f	Telephone	CXP	3	Once a month or more but not every week
4.C.1.a.2.f	Telephone	CXP	4	Once a week or more but not every day
4.C.1.a.2.f	Telephone	CXP	5	Every day
4.C.1.a.2.h	Electronic Mail	CXP	1	Never
4.C.1.a.2.h	Electronic Mail	CXP	2	Once a year or more but not every month
4.C.1.a.2.h	Electronic Mail	CXP	3	Once a month or more but not every week
4.C.1.a.2.h	Electronic Mail	CXP	4	Once a week or more but not every day
4.C.1.a.2.h	Electronic Mail	CXP	5	Every day
4.C.1.a.2.j	Letters and Memos	CXP	1	Never
4.C.1.a.2.j	Letters and Memos	CXP	2	Once a year or more but not every month
4.C.1.a.2.j	Letters and Memos	CXP	3	Once a month or more but not every week
4.C.1.a.2.j	Letters and Memos	CXP	4	Once a week or more but not every day
4.C.1.a.2.j	Letters and Memos	CXP	5	Every day
4.C.1.a.2.l	Face-to-Face Discussions	CXP	1	Never
4.C.1.a.2.l	Face-to-Face Discussions	CXP	2	Once a year or more but not every month
4.C.1.a.2.l	Face-to-Face Discussions	CXP	3	Once a month or more but not every week
4.C.1.a.2.l	Face-to-Face Discussions	CXP	4	Once a week or more but not every day
4.C.1.a.2.l	Face-to-Face Discussions	CXP	5	Every day
4.C.1.a.4	Contact With Others	CXP	1	No contact with others
4.C.1.a.4	Contact With Others	CXP	2	Occasional contact with others
4.C.1.a.4	Contact With Others	CXP	3	Contact with others about half the time
4.C.1.a.4	Contact With Others	CXP	4	Contact with others most of the time
4.C.1.a.4	Contact With Others	CXP	5	Constant contact with others
4.C.1.b.1.e	Work With Work Group or Team	CXP	1	Not important at all
4.C.1.b.1.e	Work With Work Group or Team	CXP	2	Fairly important
4.C.1.b.1.e	Work With Work Group or Team	CXP	3	Important
4.C.1.b.1.e	Work With Work Group or Team	CXP	4	Very important
4.C.1.b.1.e	Work With Work Group or Team	CXP	5	Extremely important
4.C.1.b.1.f	Deal With External Customers	CXP	1	Not important at all
4.C.1.b.1.f	Deal With External Customers	CXP	2	Fairly important
4.C.1.b.1.f	Deal With External Customers	CXP	3	Important
4.C.1.b.1.f	Deal With External Customers	CXP	4	Very important
4.C.1.b.1.f	Deal With External Customers	CXP	5	Extremely important
4.C.1.b.1.g	Coordinate or Lead Others	CXP	1	Not important at all
